Date, Open, High, Low, Close, Volume
10/18/11, 120.14, 123.50, 119.20, 122.58, 318857875
10/17/11, 121.99, 122.5492, 119.93, 120.23, 202311594
10/14/11, 121.91, 122.60, 121.23, 122.57, 211397594
10/13/11, 120.04, 120.87, 119.12, 120.51, 212538797
10/12/11, 120.60, 122.14, 120.33, 120.75, 281544812
10/11/11, 118.87, 120.04, 118.75, 119.70, 209088000
10/10/11, 117.68, 119.63, 117.67, 119.58, 230666203
10/07/11, 117.17, 117.245, 115.06, 115.71, 312657875
10/06/11, 114.36, 116.66, 113.51, 116.49, 257800703
10/05/11, 112.62, 114.72, 111.58, 114.42, 284108000
10/04/11, 108.35, 112.58, 107.43, 112.34, 459177500
10/03/11, 112.49, 113.95, 109.81, 109.93, 365136812
09/30/11, 114.45, 115.45, 113.07, 113.15, 288685500
09/29/11, 117.05, 117.63, 113.93, 116.05, 298108812
09/28/11, 117.78, 118.49, 114.97, 115.145, 286696719
09/27/11, 118.53, 119.56, 116.84, 117.54, 311753781
09/26/11, 114.61, 116.40, 112.98, 116.24, 260673594
09/23/11, 112.11, 114.16, 112.02, 113.54, 307242500
09/22/11, 113.25, 114.21, 111.30, 112.86, 513920094
09/21/11, 120.23, 120.60, 116.44, 116.63, 316251188
09/20/11, 120.82, 121.99, 120.01, 120.17, 218932094
09/19/11, 119.53, 120.93, 118.72, 120.31, 241516891
09/16/11, 121.29, 121.97, 120.32, 121.521, 284528188
09/15/11, 120.65, 121.47, 119.4034, 121.43, 326777094
09/14/11, 118.34, 120.80, 116.72, 119.37, 319389406
09/13/11, 117.05, 118.18, 116.22, 117.74, 272514688
09/12/11, 114.47, 116.76, 114.05, 116.67, 305793406
09/09/11, 117.68, 119.057, 115.28, 115.92, 380195094
09/08/11, 119.57, 120.94, 118.77, 119.04, 250568188
09/07/11, 118.76, 120.34, 118.36, 120.29, 209803109
09/06/11, 114.39, 117.16, 114.38, 116.99, 285142688
09/02/11, 118.42, 120.8726, 117.43, 117.85, 255517203
09/01/11, 122.29, 123.40, 120.78, 120.94, 254585797
08/31/11, 122.46, 123.51, 121.30, 122.22, 301828281
08/30/11, 120.83, 122.43, 119.26, 121.68, 241315703
08/29/11, 119.56, 121.43, 118.0569, 121.36, 190977203
08/26/11, 115.69, 118.51, 113.85, 117.97, 314495812
08/25/11, 118.73, 119.40, 115.87, 116.28, 312365312
08/24/11, 116.19, 118.24, 115.92, 118.08, 246869703
08/23/11, 113.15, 116.5665, 112.58, 116.44, 331136594
08/22/11, 115.17, 115.23, 112.41, 112.73, 275090594
08/19/11, 112.96, 115.88, 112.50, 112.64, 428281219
08/18/11, 116.50, 119.714, 113.39, 114.51, 512956188
08/17/11, 120.25, 121.20, 118.72, 119.67, 238201109
08/16/11, 119.47, 120.69, 118.31, 119.59, 294095188
08/15/11, 119.19, 120.74, 119.00, 120.62, 258810594
08/12/11, 118.40, 119.215, 117.28, 118.12, 313731594
08/11/11, 113.26, 118.92, 112.317, 117.33, 487979719
08/10/11, 115.26, 116.28, 111.95, 112.29, 662607438
08/09/11, 114.07, 117.64, 110.27, 117.48, 717828625
08/08/11, 116.91, 120.1218, 112.02, 112.26, 702263812
08/05/11, 121.76, 122.07, 116.86, 120.08, 655561625
08/04/11, 124.42, 124.62, 120.06, 120.26, 520721781
08/03/11, 125.66, 126.31, 123.53, 126.17, 371029406
08/02/11, 127.81, 128.50, 125.49, 125.49, 346653781
08/01/11, 130.84, 130.96, 127.53, 128.78, 325790781
07/29/11, 128.91, 130.55, 127.9667, 129.33, 307042500
07/28/11, 130.60, 131.77, 130.01, 130.22, 207939906
07/27/11, 132.59, 132.63, 130.43, 130.60, 249020000
07/26/11, 133.74, 133.96, 133.03, 133.33, 131278094
07/25/11, 133.30, 134.49, 133.16, 133.83, 136653703
07/22/11, 134.52, 134.72, 133.76, 134.58, 126019297
07/21/11, 133.40, 134.82, 132.6693, 134.49, 245270297
07/20/11, 133.07, 133.15, 132.42, 132.65, 137145297
07/19/11, 131.34, 132.89, 131.31, 132.73, 166554891
07/18/11, 131.08, 131.28, 129.63, 130.61, 196872094
07/15/11, 131.66, 131.87, 130.77, 131.69, 220124609
07/14/11, 132.17, 132.78, 130.68, 130.93, 226111703
07/13/11, 132.09, 133.22, 131.519, 131.84, 204062500
07/12/11, 131.69, 132.78, 131.36, 131.40, 214675594
07/11/11, 132.75, 133.18, 131.66, 131.97, 195918500
07/08/11, 133.83, 135.3558, 133.39, 134.40, 194171500
07/07/11, 135.16, 135.70, 134.88, 135.36, 170464188
07/06/11, 133.49, 134.14, 133.11, 133.97, 143332703
07/05/11, 133.78, 134.08, 133.39, 133.81, 165936000
07/01/11, 132.09, 134.10, 131.78, 133.92, 202385594
06/30/11, 131.14, 132.18, 130.705, 131.97, 223496500
06/29/11, 130.20, 130.93, 129.6321, 130.72, 244295391
06/28/11, 128.45, 129.63, 128.27, 129.61, 165556297
06/27/11, 126.89, 128.43, 126.64, 127.94, 168908188
06/24/11, 128.27, 128.37, 126.62, 126.81, 226129406
06/23/11, 127.16, 128.6361, 126.19, 128.301, 334286781
06/22/11, 129.05, 129.81, 128.59, 128.67, 176886500
06/21/11, 128.36, 129.70, 127.7535, 129.45, 193157203
06/20/11, 126.62, 127.97, 126.58, 127.70, 159478891
06/17/11, 127.93, 127.94, 126.62, 127.05, 234996094
06/16/11, 127.06, 127.97, 126.32, 127.30, 308038406
06/15/11, 128.24, 129.2991, 126.68, 127.02, 300957875
06/14/11, 128.87, 129.77, 128.82, 129.32, 160570297
06/13/11, 127.89, 128.24, 127.05, 127.70, 207599812
06/10/11, 128.85, 128.93, 127.26, 127.60, 238629297
06/09/11, 128.77, 129.93, 128.46, 129.40, 160964406
06/08/11, 128.76, 129.19, 128.18, 128.42, 198696297
06/07/11, 129.70, 130.07, 128.85, 128.96, 161806000
06/06/11, 130.09, 130.36, 128.87, 129.045, 179951109
06/03/11, 130.15, 131.42, 130.08, 130.42, 234690094
06/02/11, 131.96, 132.24, 130.96, 131.73, 200466703
06/01/11, 134.51, 134.9234, 131.76, 131.87, 233094297
05/31/11, 134.77, 134.92, 133.84, 134.90, 164731203
05/27/11, 133.37, 133.87, 132.9588, 133.51, 120921906
05/26/11, 132.03, 133.24, 131.78, 133.00, 164984609
05/25/11, 131.42, 132.94, 131.38, 132.39, 151102203
05/24/11, 132.44, 132.73, 131.70, 131.95, 147200297
05/23/11, 131.98, 133.6475, 131.59, 132.06, 168800000
05/20/11, 134.33, 134.6781, 133.36, 133.61, 182638297
05/19/11, 134.80, 135.03, 133.94, 134.68, 119584797
05/18/11, 133.24, 134.50, 132.95, 134.36, 135228094
05/17/11, 132.69, 133.35, 132.12, 133.17, 192852297
05/16/11, 133.56, 134.61, 132.97, 133.19, 141770594
05/13/11, 135.15, 135.34, 133.56, 134.04, 157499109
05/12/11, 134.08, 135.36, 133.39, 135.08, 171648094
05/11/11, 135.67, 135.69, 133.82, 134.44, 193745594
05/10/11, 135.17, 136.11, 135.00, 135.87, 114887000
05/09/11, 134.19, 135.11, 133.98, 134.72, 114134398
05/06/11, 134.94, 135.63, 133.22, 134.20, 222951297
05/05/11, 134.08, 134.95, 133.02, 133.61, 227065703
05/04/11, 135.67, 135.73, 134.23, 134.83, 182821203
05/03/11, 135.96, 136.19, 135.045, 135.73, 138445797
05/02/11, 137.07, 137.18, 135.95, 136.22, 126310000
04/29/11, 136.16, 136.57, 135.98, 136.43, 115094398
04/28/11, 135.43, 136.29, 135.41, 136.11, 124865797
04/27/11, 135.05, 135.87, 134.50, 135.67, 143104797
04/26/11, 134.05, 135.06, 133.91, 134.791, 146658406
04/25/11, 133.68, 133.86, 133.20, 133.64, 65231070
04/21/11, 133.79, 133.84, 133.1046, 133.78, 136214500
04/20/11, 132.88, 133.39, 132.79, 133.10, 156472984
04/19/11, 130.76, 131.35, 130.44, 131.31, 124321906
04/18/11, 130.59, 132.0301, 129.51, 130.56, 210908188
04/15/11, 131.80, 132.37, 131.41, 132.04, 170146594
04/14/11, 130.70, 131.76, 130.27, 131.56, 161271203
04/13/11, 132.08, 132.18, 130.96, 131.46, 162172984
04/12/11, 131.72, 131.98, 130.99, 131.47, 161480703
04/11/11, 133.00, 133.45, 132.14, 132.46, 121518492
04/08/11, 133.91, 133.99, 132.31, 132.86, 148014797
